***small example from ESPaDOnS LibreEsprit format
  47824 5
  486.0476  7.2783e-01 -1.5257e-03  1.3665e-03  1.1603e-03  1.6529e-03
  486.0509  7.3414e-01 -1.0860e-03  8.9316e-04  9.0455e-04  1.6204e-03
  486.0541  7.4830e-01 -1.3682e-03  5.5907e-04  6.0922e-05  1.6324e-03
  486.0574  7.6226e-01  1.8764e-03  1.0136e-03  1.0734e-03  1.6864e-03
  486.0606  7.6172e-01  2.1245e-03  2.8806e-04 -3.3898e-03  1.6595e-03
  486.0639  7.6312e-01  4.3005e-04  1.6779e-03 -9.8567e-04  1.6288e-03
  486.0672  7.6415e-01 -1.1313e-03  6.2598e-04 -1.3699e-03  1.6783e-03
  486.0704  7.5770e-01  2.5060e-03  1.4810e-04 -1.6191e-03  1.6740e-03
  486.0737  7.6119e-01  1.3807e-03 -1.4732e-04  6.9381e-04  1.6144e-03
  486.0769  7.6411e-01  9.1526e-04 -3.5254e-04 -6.6320e-04  1.6734e-03
  486.0802  7.6600e-01  1.1842e-04  6.2932e-04 -2.4468e-03  1.6799e-03
  486.0834  7.6336e-01  2.5384e-03 -2.4168e-04 -1.1099e-03  1.6196e-03
  486.0867  7.5541e-01  2.7836e-03  1.5833e-03 -1.7096e-04  1.6473e-03
  486.0900  7.5283e-01 -8.9744e-07  1.4434e-03 -6.2871e-04  1.6612e-03
  486.0932  7.4331e-01  9.4170e-04  3.0758e-03  2.9643e-03  1.6135e-03
  486.0965  7.4040e-01 -2.6518e-03 -1.2715e-03 -4.1102e-03  1.6097e-03
  486.0997  7.2541e-01  1.0954e-03  2.3129e-03 -7.0603e-04  1.6330e-03
  486.1030  7.1748e-01  7.5939e-04  2.6466e-04  2.6671e-04  1.6023e-03
  486.1062  7.0267e-01 -1.6377e-03 -2.5516e-03 -2.9091e-04  1.5532e-03
  486.1095  6.7091e-01  5.4394e-04 -2.4174e-03  1.8804e-03  1.5644e-03
  486.1127  6.3045e-01  1.8336e-04 -1.8690e-03 -2.8608e-04  1.5204e-03
  486.1160  5.7428e-01 -1.3035e-03  1.6730e-04  1.2391e-05  1.4046e-03
  486.1193  5.0526e-01 -3.7395e-04 -4.6612e-04  2.1624e-03  1.3704e-03
  486.1225  4.3476e-01 -2.9204e-04  2.2607e-03  1.0535e-03  1.2938e-03
  486.1258  3.8887e-01 -4.3796e-04 -1.4795e-03  1.7061e-03  1.1806e-03
  486.1290  3.7600e-01  9.4306e-04  1.8455e-03 -5.0097e-04  1.1877e-03
  486.1323  3.5848e-01  5.0396e-04 -2.7542e-04  4.9727e-04  1.1767e-03
  486.1355  3.3081e-01  3.4014e-04  1.8171e-03  3.0566e-04  1.1075e-03
  486.1388  2.9480e-01  5.3527e-04  8.2654e-04 -4.2845e-04  1.0552e-03
  486.1420  2.6573e-01  1.5290e-04  6.8265e-04 -3.3290e-04  1.0376e-03
  486.1453  2.3969e-01  7.7241e-04 -7.9750e-04  9.0070e-04  9.7936e-04
  486.1485  2.2429e-01 -9.5479e-05  1.5473e-03 -1.3039e-03  9.3015e-04
  486.1518  2.1557e-01 -4.6305e-04 -1.9054e-03 -2.3453e-03  9.4955e-04
  486.1550  2.1000e-01 -2.5500e-04  1.0552e-03  1.9281e-03  9.3173e-04
  486.1583  2.0640e-01 -3.2146e-04 -4.0803e-05 -1.9631e-04  8.9314e-04
  486.1615  2.0855e-01 -1.7087e-05 -3.8557e-04  2.6670e-04  9.3038e-04
  486.1648  2.1131e-01 -4.9579e-04  5.9146e-04  2.8508e-04  9.3818e-04
  486.1682  2.1861e-01 -6.2681e-04  8.4148e-04  1.7529e-04  9.1410e-04
  486.1713  2.3005e-01  7.7936e-04 -9.3164e-04  1.3183e-03  9.5812e-04
  486.1747  2.4533e-01  4.2369e-04  2.6961e-04 -9.6541e-04  9.9208e-04
  486.1778  2.7127e-01 -8.8874e-04 -1.3363e-03 -1.0724e-03  1.0037e-03
  486.1812  3.0167e-01  1.2985e-04 -5.8095e-04  5.4490e-05  1.0552e-03
